Country,rain,temp,
Afghanistan,327,30.01,
Albania,1485,29.78,
Algeria,89,29.63,
Angola,1010,29.15,
Antigua and Barbuda,1030,29.08,
Argentina,591,29.03,
Armenia,562,29,
Australia,534,28.7,
Austria,1110,28.46,
Azerbaijan,447,28.3,
Bahamas,1292,28.17,
Bahrain,83,28.1,
Bangladesh,2666,28.09,
Barbados,1422,28.07,
Belarus,618,28.05,
Belgium,847,27.99,
Belize,1705,27.89,
Benin,1039,27.88,
Bhutan,2200,27.74,
Bosnia and Herzegovina,1028,27.72,
Botswana,416,27.67,
Brazil,1761,27.65,
Bulgaria,608,27.61,
Burkina Faso,748,27.56,
Burundi,1274,27.56,
Cambodia,1904,27.49,
Cameroon,1604,27.44,
Canada,537,27.41,
Central African Republic,1343,27.33,
Chad,322,27.19,
Chile,1522,27.07,
China,645,27.04,
Colombia,3240,27.01,
Comoros,900,26.91,
Congo,1646,26.91,
Costa Rica,2926,26.88,
Croatia,1113,26.87,
Cuba,1335,26.83,
Cyprus,498,26.8,
Denmark,703,26.6,
Djibouti,220,26.59,
Dominica,2083,26.56,
Dominican Republic,1410,26.54,
Ecuador,2274,26.49,
Egypt,18.1,26.46,
El Salvador,1784,26.19,
Equatorial Guinea,2156,26.17,
Eritrea,384,26.15,
Estonia,626,26.15,
Ethiopia,848,26.05,
Fiji,2592,25.87,
Finland,536,25.8,
France,867,25.78,
Gabon,1831,25.65,
Gambia,836,25.62,
Georgia,1026,25.62,
Germany,700,25.61,
Ghana,1187,25.6,
Greece,652,25.58,
Grenada,2350,25.5,
Guatemala,1996,25.23,
Guinea,1651,25.23,
Guyana,2387,25.11,
Haiti,1440,25.08,
Honduras,1976,25.08,
Hungary,589,25.05,
Iceland,1940,25.03,
India,1083,25.01,
Indonesia,2702,24.99,
Iraq,216,24.94,
Ireland,1118,24.74,
Israel,435,24.72,
Italy,832,24.7,
Jamaica,2051,24.53,
Japan,1668,24.32,
Jordan,111,24.24,
Kazakhstan,250,24.22,
Kenya,630,24.09,
Kuwait,121,24.01,
Kyrgyzstan,533,23.96,
Latvia,667,23.88,
Lebanon,661,23.67,
Lesotho,788,23.51,
Liberia,2391,23.45,
Libya,56,23.35,
Lithuania,656,23.05,
Luxembourg,934,23.04,
Madagascar,1513,22.79,
Malawi,1181,22.19,
Malaysia,2875,22.12,
Maldives,1972,22.06,
Mali,282,21.87,
Malta,560,21.86,
Mauritania,92,21.74,
Mauritius,2041,21.68,
Mexico,758,21.33,
Mongolia,241,20.55,
Morocco,346,20.36,
Mozambique,1032,20.36,
Myanmar,2091,20.28,
Namibia,285,20.12,
Nepal,1500,19.84,
Netherlands,778,19.79,
New Zealand,1732,19.54,
Nicaragua,2280,19.21,
Niger,151,18.48,
Nigeria,1150,18.06,
Norway,1414,16.23,
Oman,125,16.09,
Pakistan,494,15.4,
Panama,2928,14.32,
Papua New Guinea,3142,14.3,
Paraguay,1130,14.29,
Peru,1738,14.25,
Philippines,2348,13.62,
Poland,600,13.5,
Portugal,854,13.04,
Puerto Rico,2054,12.95,
Qatar,74,12.92,
Romania,637,12.36,
Rwanda,1212,11.98,
Samoa,2880,11.95,
Sao Tome and Principe,3200,11.57,
Saudi Arabia,59,11.57,
Senegal,686,11.42,
Seychelles,2330,10.94,
Sierra Leone,2526,10.8,
Singapore,2497,10.66,
Slovakia,824,10.47,
Slovenia,1162,10.39,
Solomon Islands,3028,10.35,
Somalia,282,10.2,
South Africa,495,10.06,
Spain,636,9.95,
Sri Lanka,1712,9.9,
Sudan,250,9.49,
Suriname,2331,9.38,
Sweden,624,8.92,
Switzerland,1537,8.84,
Tajikistan,691,8.5,
Thailand,1622,8.19,
Togo,1168,7.88,
Trinidad and Tobago,2200,7.42,
Tunisia,207,7.35,
Turkmenistan,161,7.28,
Uganda,1180,6.81,
Ukraine,565,6.5,
United Arab Emirates,78,6.42,
United Kingdom,1220,6.28,
Uruguay,1300,3.35,
Uzbekistan,206,3.02,
Vanuatu,2000,2.4,
Yemen,167,-3.64,
Zambia,1020,-3.71,
Zimbabwe,657,-17.56,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
